timestamp,accuracy,d0,d1,d2
90962168508237,3,0.08020575,0.34237084,9.998186
90962178497456,3,0.23104046,0.34835634,9.976639
90962188531414,3,0.40102878,0.34117374,10.012551
90962198532300,3,0.48961425,0.34237084,9.989806
90962208571675,3,0.39264908,0.34117374,9.989806
90962218536519,3,0.09696517,0.34237084,10.012551
90962228516466,3,-0.2873042,0.35673606,9.9790325
90962238538758,3,-0.4417302,0.35434186,9.992201
90962248611414,3,-0.61650693,0.36511576,9.989806
90962258520946,3,-0.6488287,0.36272156,9.973047
90962268568237,3,-0.34237084,0.35673606,9.989806
90962278532456,3,-0.5410896,0.35673606,9.989806
90962288500946,3,-0.34596214,0.35913026,9.981427
90962298506050,3,-0.009576807,0.34356794,9.981427
90962308523602,3,0.15682021,0.34955344,9.994595
90962318506466,3,0.29807812,0.33638534,9.970653
90962328498602,3,0.4321534,0.33638534,9.991004
90962338515060,3,0.38307226,0.33399114,9.9790325
90962348504487,3,0.17357962,0.32800564,9.970653
90962358514019,3,-0.12569559,0.33997664,10.010158
90962368512248,3,-0.2765303,0.33758244,9.989806
90962378496675,3,-0.40102878,0.33877954,9.989806
90962388510581,3,-0.48722005,0.34955344,10.014946
90962398519071,3,-0.44651863,0.34117374,9.992201
90962408547664,3,-0.31603462,0.35314476,10.014946
90962418540008,3,-0.077811554,0.34356794,10.00896
90962428514071,3,0.06344634,0.34835634,9.998186
90962438520216,3,0.17238252,0.34955344,10.019734
90962448582456,3,0.35075054,0.34955344,10.004171
90962458535373,3,0.37110126,0.35673606,10.000581
90962468530737,3,0.2777274,0.35673606,10.006566
90962478518654,3,0.023942016,0.35673606,9.988609
90962488523185,3,-0.19033903,0.36032736,9.996989
90962498622664,3,-0.31364042,0.35314476,10.0029745
90962508524643,3,-0.44771573,0.36152446,10.004171
90962518550789,3,-0.4345476,0.35314476,10.005369
90962528513185,3,-0.31483752,0.35913026,9.998186
90962538522768,3,-0.10414778,0.35434186,9.994595
90962548582873,3,0.15322891,0.35434186,10.005369
90962558528498,3,0.29328972,0.36272156,9.999383
90962568545685,3,0.45489833,0.36032736,10.006566
90962578558966,3,0.51834464,0.36631286,10.01734
90962588559175,3,0.4201824,0.36870706,10.018537
90962598588393,3,0.110133275,0.36870706,10.031705
90962608555841,3,-0.25617957,0.37588966,10.024523
90962618513550,3,-0.39863458,0.36870706,10.030508
90962628505164,3,-0.5662287,0.37708676,10.031705
90962638498393,3,-0.5734113,0.37229836,10.018537
90962648506779,3,-0.45848963,0.37110126,10.024523
90962658514018,3,-0.23822308,0.36870706,10.020931
90962668513133,3,0.11133038,0.35553896,10.010158
90962678533289,3,0.28491,0.35913026,10.048465
90962688542352,3,0.45729253,0.34356794,10.016143
90962698579695,3,0.5626374,0.34117374,10.013748
90962708534175,3,0.48602295,0.34237084,10.024523
90962718552873,3,0.18555063,0.33518824,9.976639
90962728626623,3,-0.20709845,0.35075054,10.004171
90962738509956,3,-0.36990416,0.35194764,9.999383
90962748505789,3,-0.5279215,0.36272156,9.975441
90962758511987,3,-0.60214174,0.36750996,10.0029745
90962768513237,3,-0.5351041,0.36032736,9.977836
90962778501102,3,-0.36152446,0.36631286,9.983821
90962788523185,3,-0.044292733,0.35673606,10.011354
90962798537456,3,0.10654198,0.35793316,9.983821
90962808547508,3,0.22266077,0.35075054,10.000581
90962818555841,3,0.37828386,0.34715924,9.999383
90962828517977,3,0.36990416,0.34715924,9.974244
90962838540164,3,0.23822308,0.34715924,10.012551
90962848630737,3,-0.033518825,0.35434186,9.992201
